Number,Season,Episode,Title,Stars,Summary,,Director,Runtime (mins),,IMDB votes,,Notable Death Count,,Writer,Original Air Date,US viewers (million)
1,1,1,Winter Is Coming,9,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",,Tim Van Patten,62,,27685,,4,,David Benioff & D. B. Weiss,"April 17, 2011",2.22
2,1,2,The Kingsroad,8.8,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",,Tim Van Patten,56,,21256,,3,,David Benioff & D. B. Weiss,"April 24, 2011",2.2
3,1,3,Lord Snow,8.7,Lord Stark and his daughters arrive at King's Landing to discover the intrigues of the king's realm.,,Brian Kirk,58,,20090,,0,,David Benioff & D. B. Weiss,"May 1, 2011",2.44
4,1,4,"Cripples, Bastards, and Broken Things",8.8,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",,Brian Kirk,56,,19123,,1,,Bryan Cogman,"May 8, 2011",2.45
5,1,5,The Wolf and the Lion,9.1,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",,Brian Kirk,55,,20062,,5,,David Benioff & D. B. Weiss,"May 15, 2011",2.58
6,1,6,A Golden Crown,9.2,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",,Daniel Minahan,53,,19908,,4,,Story by : Jane Espenson and David Benioff & D. B. Weiss ,"May 22, 2011",2.44
7,1,7,You Win or You Die,9.3,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",,Daniel Minahan,58,,20405,,2,,David Benioff & D. B. Weiss,"May 29, 2011",2.4
8,1,8,The Pointy End,9.1,"Eddard and his men are betrayed and captured by the Lannisters. When word reaches Robb, he plans to go to war to rescue them. The White Walkers attack the Wall. Tyrion returns to his father with some new friends.",,Daniel Minahan,59,,18688,,7,,George R. R. Martin,"June 5, 2011",2.72
9,1,9,Baelor,9.6,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,,Alan Taylor,57,,26364,,2,,David Benioff & D. B. Weiss,"June 12, 2011",2.66
10,1,10,Fire and Blood,9.5,"With Ned dead, Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.",,Alan Taylor,53,,23354,,3,,David Benioff & D. B. Weiss,"June 19, 2011",3.04
11,2,1,The North Remembers,8.9,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.,,Alan Taylor,53,,18688,,2,,David Benioff & D. B. Weiss,"April 1, 2012",3.86
12,2,2,The Night Lands,8.6,"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.",,Alan Taylor,54,,17545,,1,,David Benioff & D. B. Weiss,"April 8, 2012",3.76
13,2,3,What Is Dead May Never Die,8.9,Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.,,Alik Sakharov,53,,17365,,2,,Bryan Cogman,"April 15, 2012",3.77
14,2,4,Garden of Bones,8.9,"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal.",,David Petrarca,51,,16706,,4,,Vanessa Taylor,"April 22, 2012",3.65
15,2,5,The Ghost of Harrenhal,8.9,"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses.",,David Petrarca,55,,16846,,4,,David Benioff & D. B. Weiss,"April 29, 2012",3.9
16,2,6,The Old Gods and the New,9.1,"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms.",,David Nutter,54,,17799,,5,,Vanessa Taylor,"May 6, 2012",3.88
17,2,7,A Man Without Honor,9,Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.,,David Nutter,56,,17256,,5,,David Benioff & D. B. Weiss,"May 13, 2012",3.69
18,2,8,The Prince of Winterfell,8.9,"Stannis is just days from King's Landing. Tyrion prepares for his arrival. Jon and Qhorin are taken prisoner by the wildlings. Catelyn is arrested for releasing Jaime. Arya, Gendry, and Hot Pie plan to escape from Harrenhal.",,Alan Taylor,54,,16975,,3,,David Benioff & D. B. Weiss,"May 20, 2012",3.86
19,2,9,Blackwater,9.7,Stannis Baratheon's fleet and army arrive at King's Landing and the battle for the city begins. Cersei plans for her and her children's future.,,Neil Marshall,55,,30368,,2,,George R. R. Martin,"May 27, 2012",3.38
20,2,10,Valar Morghulis,9.4,Joffrey puts Sansa aside for Margaery Tyrell. Robb marries Talisa Maegyr. Jon prepares to meet Mance Rayder. Arya says farewell to Jaqen H'ghar. Daenerys tries to rescue her dragons.,,Alan Taylor,64,,21557,,6,,David Benioff & D. B. Weiss,"June 3, 2012",4.2
21,3,1,Valar Dohaeris,8.9,"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out.",,Daniel Minahan,55,,19010,,0,,David Benioff & D. B. Weiss,"March 31, 2013",4.37
22,3,2,"Dark Wings, Dark Words",8.7,"Bran and company meet Jojen and Meera Reed. Arya, Gendry, and Hot Pie meet the Brotherhood. Jaime travels through the wilderness with Brienne. Sansa confesses her true feelings about Joffery to Margaery.",,Daniel Minahan,56,,16855,,1,,Vanessa Taylor,"April 7, 2013",4.27
23,3,3,Walk of Punishment,8.9,Robb and Catelyn arrive at Riverrun for Lord Hoster Tully's funeral. Tywin names Tyrion the new Master of Coin. Arya says goodbye to Hot Pie. The Night's Watch returns to Craster's. Brienne and Jaime are taken prisoner.,,David Benioff,56,,17072,,1,,David Benioff & D. B. Weiss,"April 14, 2013",4.72
24,3,4,And Now His Watch Is Ended,9.6,Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.,,Alex Graves,53,,23833,,5,,David Benioff & D. B. Weiss,"April 21, 2013",4.87
25,3,5,Kissed by Fire,9,"Robb's army is falling apart. Jaime reveals a story, to Brienne, that he has never told anyone. Jon breaks his vows. The Hound is granted his freedom. The Lannisters hatch a new plan.",,Alex Graves,57,,17309,,4,,Bryan Cogman,"April 28, 2013",5.35
26,3,6,The Climb,8.9,Jon and the wildlings scale the Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.,,Alik Sakharov,53,,17167,,1,,David Benioff & D. B. Weiss,"May 5, 2013",5.5
27,3,7,The Bear and the Maiden Fair,8.8,Jon and the wildlings travel south of the Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.,,Michelle MacLaren,58,,16496,,0,,George R. R. Martin,"May 12, 2013",4.84
28,3,8,Second Sons,9.1,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.,,Michelle MacLaren,56,,17121,,3,,David Benioff & D. B. Weiss,"May 19, 2013",5.13
29,3,9,The Rains of Castamere,9.9,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,,David Nutter,51,,68630,,8,,David Benioff & D. B. Weiss,"June 2, 2013",5.22
30,3,10,Mhysa,9.2,Bran and company travel beyond the Wall. Sam returns to Castle Black. Jon says goodbye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.,,David Nutter,63,,19573,,1,,David Benioff & D. B. Weiss,"June 9, 2013",5.39
31,4,1,Two Swords,9.1,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy.",,D. B. Weiss,58,,23379,,2,,David Benioff & D. B. Weiss,"April 6, 2014",6.64
32,4,2,The Lion and the Rose,9.7,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.,,Alex Graves,52,,37772,,3,,George R. R. Martin,"April 13, 2014",6.31
33,4,3,Breaker of Chains,8.9,Tyrion is arrested for the murder of Joffery and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.,,Alex Graves,57,,18948,,4,,David Benioff & D. B. Weiss,"April 20, 2014",6.59
34,4,4,Oathkeeper,8.9,Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.,,Michelle MacLaren,55,,18075,,1,,Bryan Cogman,"April 27, 2014",6.95
35,4,5,First of His Name,8.8,Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.,,Michelle MacLaren,53,,17414,,3,,David Benioff & D. B. Weiss,"May 4, 2014",7.16
36,4,6,The Laws of Gods and Men,9.7,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.,,Alik Sakharov,51,,32906,,0,,Bryan Cogman,"May 11, 2014",6.4
37,4,7,Mockingbird,9.2,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.,,Alik Sakharov,51,,19693,,4,,David Benioff & D. B. Weiss,"May 18, 2014",7.2
38,4,8,The Mountain and the Viper,9.7,"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain.",,Alex Graves,52,,36547,,6,,David Benioff & D. B. Weiss,"June 1, 2014",7.17
39,4,9,The Watchers on the Wall,9.6,The battle between the Night's Watch and the wildlings has come.,,Neil Marshall,51,,30073,,10,,David Benioff & D. B. Weiss,"June 8, 2014",6.95
40,4,10,The Children,9.7,"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery.",,Alex Graves,65,,29933,,4,,David Benioff & D. B. Weiss,"June 15, 2014",7.09
41,5,1,The Wars to Come,8.6,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings.",,Michael Slovis,53,,20355,,2,,David Benioff & D. B. Weiss,"April 12, 2015",8
42,5,2,The House of Black and White,8.6,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.,,Michael Slovis,56,,17318,,3,,David Benioff & D. B. Weiss,"April 19, 2015",6.81
43,5,3,High Sparrow,8.6,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.,,Mark Mylod,60,,16626,,5,,David Benioff & D. B. Weiss,"April 26, 2015",6.71
44,5,4,Sons of the Harpy,8.8,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack.",,Mark Mylod,51,,17239,,3,,Dave Hill,"May 3, 2015",6.82
45,5,5,Kill the Boy,8.7,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.,,Jeremy Podeswa,57,,17450,,1,,Bryan Cogman,"May 10, 2015",6.56
46,5,6,"Unbowed, Unbent, Unbroken",8.1,Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.,,Jeremy Podeswa,54,,19807,,1,,Bryan Cogman,"May 17, 2015",6.24
47,5,7,The Gift,9.1,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.,,Miguel Sapochnik,59,,19563,,2,,David Benioff & D. B. Weiss,"May 24, 2015",5.4
48,5,8,Hardhome,9.9,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,,Miguel Sapochnik,61,,71476,,4,,David Benioff & D. B. Weiss,"May 31, 2015",7.01
49,5,9,The Dance of Dragons,9.5,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,,David Nutter,52,,30748,,2,,David Benioff & D. B. Weiss,"June 7, 2015",7.14
50,5,10,Mother's Mercy,9.1,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,,David Nutter,60,,29845,,7,,David Benioff & D. B. Weiss,"June 14, 2015",8.11
51,6,1,The Red Woman,8.6,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.,,Jeremy Podeswa,50,,29145,,4,,David Benioff & D. B. Weiss,"April 24, 2016",7.94
52,6,2,Home,9.5,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.,,Jeremy Podeswa,54,,35219,,4,,Dave Hill,"May 1, 2016",7.29
